operation,latency_seconds
issueCertificate,0.008311033248901367
issueCertificate,0.006279945373535156
issueCertificate,0.005728960037231445
issueCertificate,0.005687236785888672
issueCertificate,0.0056743621826171875
issueCertificate,0.005484104156494141
issueCertificate,0.005651950836181641
issueCertificate,0.00529789924621582
issueCertificate,0.00538325309753418
issueCertificate,0.0051500797271728516
issueCertificate,0.005199909210205078
issueCertificate,0.00538182258605957
issueCertificate,0.005273103713989258
issueCertificate,0.005363941192626953
issueCertificate,0.005440950393676758
issueCertificate,0.005486965179443359
issueCertificate,0.0057888031005859375
issueCertificate,0.005264759063720703
issueCertificate,0.005336284637451172
issueCertificate,0.005793571472167969
issueCertificate,0.005382061004638672
issueCertificate,0.0053179264068603516
issueCertificate,0.00504302978515625
issueCertificate,0.005045890808105469
issueCertificate,0.005160331726074219
issueCertificate,0.005074262619018555
issueCertificate,0.00516200065612793
issueCertificate,0.005674123764038086
issueCertificate,0.005109071731567383
issueCertificate,0.005247831344604492
issueCertificate,0.005300998687744141
issueCertificate,0.0049097537994384766
issueCertificate,0.004930019378662109
issueCertificate,0.0048809051513671875
issueCertificate,0.0052640438079833984
issueCertificate,0.0053119659423828125
issueCertificate,0.005224943161010742
issueCertificate,0.00495600700378418
issueCertificate,0.0051059722900390625
issueCertificate,0.005087137222290039
issueCertificate,0.005132913589477539
issueCertificate,0.004935741424560547
issueCertificate,0.005429983139038086
issueCertificate,0.004971027374267578
issueCertificate,0.005200862884521484
issueCertificate,0.0051991939544677734
issueCertificate,0.005066871643066406
issueCertificate,0.0048100948333740234
issueCertificate,0.004823207855224609
issueCertificate,0.0049936771392822266
issueCertificate,0.004790067672729492
issueCertificate,0.004940986633300781
issueCertificate,0.004948139190673828
issueCertificate,0.004828214645385742
issueCertificate,0.004814863204956055
issueCertificate,0.004914045333862305
issueCertificate,0.0048940181732177734
issueCertificate,0.004813194274902344
issueCertificate,0.004884243011474609
issueCertificate,0.004882097244262695
issueCertificate,0.005036115646362305
issueCertificate,0.0050890445709228516
issueCertificate,0.005204916000366211
issueCertificate,0.0049152374267578125
issueCertificate,0.005053043365478516
issueCertificate,0.004876136779785156
issueCertificate,0.004818916320800781
issueCertificate,0.004751920700073242
issueCertificate,0.005120992660522461
issueCertificate,0.004816293716430664
issueCertificate,0.004792690277099609
issueCertificate,0.004784107208251953
issueCertificate,0.005085945129394531
issueCertificate,0.006127834320068359
issueCertificate,0.0049169063568115234
issueCertificate,0.0049898624420166016
issueCertificate,0.0048372745513916016
issueCertificate,0.004899740219116211
issueCertificate,0.004857301712036133
issueCertificate,0.00471806526184082
issueCertificate,0.004873991012573242
issueCertificate,0.004733085632324219
issueCertificate,0.004899024963378906
issueCertificate,0.004887819290161133
issueCertificate,0.00481724739074707
issueCertificate,0.005012989044189453
issueCertificate,0.004991054534912109
issueCertificate,0.004746913909912109
issueCertificate,0.005436897277832031
issueCertificate,0.004784822463989258
issueCertificate,0.004920005798339844
issueCertificate,0.005126953125
issueCertificate,0.0050051212310791016
issueCertificate,0.004971027374267578
issueCertificate,0.004791975021362305
issueCertificate,0.005026817321777344
issueCertificate,0.0048198699951171875
issueCertificate,0.00498509407043457
issueCertificate,0.004913806915283203
issueCertificate,0.0047757625579833984
issueCertificate,0.004799842834472656
issueCertificate,0.0047991275787353516
issueCertificate,0.004753828048706055
issueCertificate,0.004721164703369141
issueCertificate,0.0048389434814453125
issueCertificate,0.00476384162902832
issueCertificate,0.0048372745513916016
issueCertificate,0.005007743835449219
issueCertificate,0.005012989044189453
issueCertificate,0.0049610137939453125
issueCertificate,0.004998922348022461
issueCertificate,0.004796266555786133
issueCertificate,0.004930019378662109
issueCertificate,0.004923105239868164
issueCertificate,0.004844188690185547
issueCertificate,0.0047607421875
issueCertificate,0.004926919937133789
issueCertificate,0.004766225814819336
issueCertificate,0.004820108413696289
issueCertificate,0.004790067672729492
issueCertificate,0.004749774932861328
issueCertificate,0.0049211978912353516
issueCertificate,0.005097866058349609
issueCertificate,0.004940986633300781
issueCertificate,0.004853010177612305
issueCertificate,0.004916191101074219
issueCertificate,0.004983663558959961
issueCertificate,0.004952192306518555
issueCertificate,0.004803180694580078
issueCertificate,0.004790067672729492
issueCertificate,0.004780769348144531
issueCertificate,0.004759073257446289
issueCertificate,0.004699230194091797
issueCertificate,0.0047528743743896484
issueCertificate,0.0047719478607177734
issueCertificate,0.004837989807128906
issueCertificate,0.004895925521850586
issueCertificate,0.00522923469543457
issueCertificate,0.004864931106567383
issueCertificate,0.00468897819519043
issueCertificate,0.005098104476928711
issueCertificate,0.004781961441040039
issueCertificate,0.004799842834472656
issueCertificate,0.0048868656158447266
issueCertificate,0.004940986633300781
issueCertificate,0.004785776138305664
issueCertificate,0.004864215850830078
issueCertificate,0.004854917526245117
issueCertificate,0.004904031753540039
issueCertificate,0.004809856414794922
issueCertificate,0.004948854446411133
issueCertificate,0.004908084869384766
issueCertificate,0.004831075668334961
issueCertificate,0.004806995391845703
issueCertificate,0.0048029422760009766
issueCertificate,0.004777193069458008
issueCertificate,0.00479888916015625
issueCertificate,0.004815101623535156
issueCertificate,0.004832029342651367
issueCertificate,0.004832029342651367
issueCertificate,0.005014181137084961
issueCertificate,0.005210161209106445
issueCertificate,0.004825115203857422
issueCertificate,0.004885673522949219
issueCertificate,0.004822969436645508
issueCertificate,0.004830837249755859
issueCertificate,0.004868984222412109
issueCertificate,0.004914999008178711
issueCertificate,0.004857063293457031
issueCertificate,0.0047719478607177734
issueCertificate,0.004770994186401367
issueCertificate,0.004756927490234375
